PCA1,PCA2,TIME,VELOCITY,REPEAT,SIMULATOR
382.26252174259326,0.18415987831076563,72.0,15.0,1,READDY
-89.36364030423442,-362.1008828309185,54.5,150.0,3,READDY
-172.8369126386536,137.81950468626212,0.00036,150.0,3,CYTOSIM
-974.6443479719999,-98.54263998738065,4.5e-05,150.0,4,CYTOSIM
-694.3278472919064,-8.123191898732557,0.0009,15.0,1,CYTOSIM
752.0396284220785,-108.11104410174016,97.0,4.7,3,READDY
392.13990285470817,47.21863747148063,0.000735,150.0,0,CYTOSIM
698.2814831270416,-91.90656310232919,94.0,15.0,3,READDY
549.460966420389,68.52853933735935,0.00272,47.0,2,CYTOSIM
359.98555431833,53.3903987805262,0.000705,150.0,0,CYTOSIM
-865.0274314378048,-181.8194002972624,12.5,150.0,4,READDY
592.0053487554526,-134.826911462691,86.5,15.0,2,READDY
-74.28273923578158,27.698106113415065,39.5,4.7,4,READDY
-802.8132070808585,-31.45318475460124,0.0019,4.7,2,CYTOSIM
-639.7644439687152,-135.52725614072972,15.0,47.0,0,READDY
524.6930561049878,-126.57095106361965,82.0,4.7,1,READDY
-137.54679813760396,78.69964565578778,33.5,4.7,1,READDY
-793.8668323672177,-228.0019961493257,13.0,150.0,1,READDY
479.7349429949549,-76.73907700535983,0.02535,4.7,0,CYTOSIM
624.0623017789017,-98.35507045258635,87.5,47.0,4,READDY
-641.5675520687071,63.78289166146021,9.0,4.7,2,READDY
-1040.326061345865,-157.33013586125242,1.5,150.0,1,READDY
-48.80183778408866,100.28134127592182,0.0042,15.0,4,CYTOSIM
-567.5616254234853,-213.6481784391217,20.5,150.0,1,READDY
-718.6486211524884,-0.25768607610177696,0.0009,15.0,3,CYTOSIM
406.3111668622184,76.9354668843813,0.00745,15.0,0,CYTOSIM
72.7774539968596,77.29854200239731,48.0,4.7,2,READDY
507.8204723366121,47.64817964976385,0.00083,150.0,3,CYTOSIM
454.9867133624036,-90.4019218739121,75.0,15.0,3,READDY
614.8663993471048,-61.691612653625384,88.0,15.0,0,READDY
-273.1220945362238,87.01078161289604,0.009345,4.7,4,CYTOSIM
-520.6109164758404,139.46080663120563,0.000185,150.0,4,CYTOSIM
185.38016714211557,16.804515291979328,55.5,47.0,3,READDY
666.3265778042685,-50.46903181845835,0.000955,150.0,1,CYTOSIM
340.3363969318884,-9.194496430451295,66.0,4.7,2,READDY
551.5279175779276,-90.70684238375634,84.5,15.0,0,READDY
-555.4534524034918,43.74744516948613,0.000475,47.0,3,CYTOSIM
-137.69915599064655,93.46755294701586,0.0038,15.0,4,CYTOSIM
59.856561881368464,119.53093743082638,0.00052,150.0,2,CYTOSIM
-391.37041924632433,88.62068655218297,0.000725,47.0,0,CYTOSIM
-738.0832246612043,22.610743065670476,0.0008,15.0,0,CYTOSIM
-417.07461181391386,110.7459459296432,0.0022,15.0,2,CYTOSIM
-416.7525631314857,125.06097800394389,0.00215,15.0,0,CYTOSIM
647.430642162773,40.31379642634636,0.000945,150.0,2,CYTOSIM
-204.15397754617146,61.663038295978936,32.0,15.0,4,READDY
-829.7374596737263,4.6516971115108845,1.5,4.7,4,READDY
-14.12597787300706,85.08753067248188,0.00144,47.0,1,CYTOSIM
220.37599103620778,-76.34678268855919,63.0,15.0,0,READDY
505.2265225714563,-20.092861888956236,77.5,4.7,0,READDY
13.003985828019324,98.57159150588961,0.00046,150.0,0,CYTOSIM
625.6063329109497,-28.633986339961666,0.00905,15.0,3,CYTOSIM
