,PC1,PC2,TIME,VELOCITY,REPEAT,SIMULATOR,COMPRESSION_RATIO,PEAK_ASYMMETRY,NON_COPLANARITY
2243,-554.5161752329464,-77.56135706492563,0.002715,47.0,4,CYTOSIM,0.257150178356832,0.0150764067526239,0.0003089781773847
4820,377.0499745336776,-35.14484283261839,216.0,4.7,3,READDY,0.0808047179301142,0.0136510517210584,0.0012806230986956
2966,-401.6283935736336,-90.08664721370755,0.007185,15.0,2,CYTOSIM,0.215419859587877,0.0471398907380736,0.0015495377881988
6807,-400.24427201248386,95.02910883159416,739.0,150.0,0,READDY,0.2410606182613122,0.0139009447319511,0.009535789987531
5117,347.95389752459147,178.70645673305143,291.0,150.0,1,READDY,0.1024001939031223,0.0351500813712294,0.0112848294293221
4097,826.4906584800015,49.48093869283852,25.0,4.7,2,READDY,0.0208095668303757,0.069605282436185,0.0010442996085815
3390,125.00136384093008,-122.71160765636348,0.01178,4.7,1,CYTOSIM,0.1116568152579443,0.0217918463741471,0.0001720776334367
7024,-518.6738084235947,86.65262632826598,799.0,4.7,3,READDY,0.2619772993282614,0.0205528317303725,0.0071972366818071
2520,607.8355098419431,-24.347369568376788,0.00382,4.7,1,CYTOSIM,0.0361733993211462,0.0350843047615118,0.0002908530379564
6540,-309.6206065907661,126.16946770016557,668.0,47.0,4,READDY,0.221648626515428,0.0215502296649842,0.009988784068013
6769,-372.55500180874316,104.55255573777367,729.0,150.0,0,READDY,0.2383418779092732,0.0142134994355912,0.010038325865186
2842,-254.3665878289884,-101.66073209095386,0.00623,15.0,3,CYTOSIM,0.1868278387740729,0.0033181958558007,6.885696338035418e-05
2031,-351.1477661213562,-138.49602711364787,0.002255,47.0,2,CYTOSIM,0.2134900652742625,0.0133813560653501,0.0015979304539279
5477,299.45081847142023,273.61867572640386,387.0,150.0,0,READDY,0.1328794809486938,0.0088034284840506,0.0216676764922897
2495,141.38773895519333,-97.39665182484573,0.00362,15.0,1,CYTOSIM,0.1084920261635328,0.0038414989545018,5.149712344076332e-05
